Occupation,"Total, 16
Landscaping and groundskeeping workers,"1,193",74,132,241,256,208,182,101,40.9
Tree trimmers and pruners,89,5,11,23,19,12,17,2,39.9
Other grounds maintenance workers,22,0,4,6,6,4,0,0,–
Personal care and service occupations,"4,055",287,563,895,795,689,516,310,38.8
Supervisors of personal care and service workers,242,0,11,62,51,66,34,18,44.9
Animal trainers,63,1,10,26,11,5,5,5,36.7
Animal caretakers,334,33,75,94,55,38,20,19,30.6
Gambling services workers,93,1,3,19,32,18,14,7,42.7
"Ushers, lobby attendants, and ticket takers",40,6,10,5,2,7,6,4,–
Other entertainment attendants and related workers,201,59,42,35,16,9,18,22,25.1
"Embalmers, crematory operators, and funeral attendants",19,1,3,1,2,5,2,7,–
"Morticians, undertakers, and funeral arrangers",33,0,6,4,7,6,8,2,–
Barbers,144,5,12,47,30,29,11,10,38.8
"Hairdressers, hairstylists, and cosmetologists",726,10,65,153,187,154,107,49,42.2
Manicurists and pedicurists,309,2,20,59,84,89,45,11,43.2
Skincare specialists,103,2,14,35,21,20,7,4,36.1
Other personal appearance workers,35,3,3,16,5,4,3,1,–
"Baggage porters, bellhops, and concierges",81,4,14,9,20,13,11,10,40.1
Tour and travel guides,57,7,7,10,7,5,9,11,40.2
Childcare workers,984,101,168,190,157,148,139,81,37.1
Exercise trainers and group fitness instructors,242,6,22,65,64,31,32,23,40.1
Recreation workers,156,35,51,14,14,18,19,5,24.8
Residential advisors,47,3,15,9,7,3,8,1,–
"Personal care and service workers, all other",146,10,12,40,25,21,18,20,40.4
,,,,,,,,,
Sales and office occupations,"29,885","1,582","3,181","6,294","5,926","5,390","5,055","2,457",41.9
Sales and related occupations,"14,090","1,096","1,590","2,823","2,727","2,490","2,132","1,231",41.0
First-line supervisors of retail sales workers,"3,001",37,199,630,747,668,487,233,43.7
First-line supervisors of non-retail sales workers,"1,141",5,38,212,283,278,232,93,46.5
Cashiers,"2,569",713,570,401,277,236,206,167,25.8
Counter and rental clerks,62,6,10,14,10,7,10,6,38.0
Parts salespersons,123,6,16,18,30,22,17,14,42.6
Retail salespersons,"2,734",273,466,592,405,372,355,272,36.8
Advertising sales agents,124,0,6,42,26,27,17,6,41.3
Insurance sales agents,589,4,35,129,138,126,98,59,44.4
"Securities, commodities, and financial services sales agents",242,2,13,57,55,62,35,18,44.0
Travel agents,87,0,1,13,21,21,27,4,48.8
"Sales representatives of services, except advertising, insurance, financial services, and travel",701,6,55,201,174,118,98,49,41.0
"Sales representatives, wholesale and manufacturing","1,116",8,52,246,235,240,237,98,46.2
"Models, demonstrators, and product promoters",52,3,15,9,6,4,3,11,31.8
Real estate brokers and sales agents,"1,016",5,31,144,231,222,228,155,49.6
Sales engineers,47,0,1,13,10,11,10,3,–
Telemarketers,22,2,8,3,4,2,1,1,–
"Door-to-door sales workers, news and street vendors, and related workers",62,2,2,16,13,12,12,6,46.4
"Sales and related workers, all other",402,24,73,85,61,63,60,35,38.5
Office and administrative support occupations,"15,795",486,"1,591","3,471","3,199","2,900","2,923","1,226",42.6
First-line supervisors of office and administrative support workers,"1,186",4,44,239,292,277,245,84,45.8
"Switchboard operators, including answering service",12,1,2,2,4,0,2,2,–
Telephone operators,16,0,0,6,2,2,3,3,–
"Communications equipment operators, all other",7,0,1,1,2,0,2,2,–
Bill and account collectors,113,0,1,30,29,24,21,9,43.9
Billing and posting clerks,392,3,26,89,88,85,76,24,43.7
"Bookkeeping, accounting, and auditing clerks","1,197",11,72,165,229,252,306,162,50.1
Gambling cage workers,20,1,3,1,1,5,4,4,–
Payroll and timekeeping clerks,130,1,4,28,25,27,32,14,47.9
Procurement clerks,48,0,1,15,9,11,8,4,–
Tellers,231,7,62,69,28,22,26,17,30.9
"Financial clerks, all other",148,0,13,42,31,33,25,3,42.0
Brokerage clerks,8,0,1,2,3,0,1,0,–
Correspondence clerks,7,0,1,3,3,0,0,1,–
"Court, municipal, and license clerks",74,0,6,17,15,17,15,4,45.3
"Credit authorizers, checkers, and clerks",28,0,5,4,4,9,4,2,–
Customer service representatives,"2,632",236,385,596,511,380,349,174,37.2
"Eligibility interviewers, government programs",76,1,4,6,30,16,16,3,44.7
File Clerks,125,3,7,36,30,20,19,10,40.3
"Hotel, motel, and resort desk clerks",85,4,22,17,14,11,11,6,35.0
"Interviewers, except eligibility and loan",188,2,20,56,32,28,35,15,40.8
"Library assistants, clerical",66,3,18,12,10,6,10,7,35.9
Loan interviewers and clerks,102,0,6,29,32,16,16,3,40.3
New accounts clerks,15,0,0,7,2,2,2,1,–
Order clerks,94,2,19,20,14,13,20,7,39.5
"Human resources assistants, except payroll and timekeeping",93,0,6,17,32,14,15,9,42.5
Receptionists and information clerks,"1,201",57,259,277,195,176,158,81,35.9
Reservation and transportation ticket agents and travel clerks,117,1,10,30,22,21,25,6,41.0
"Information and record clerks, all other",112,3,12,14,26,18,21,18,45.9
Cargo and freight agents,13,0,1,4,5,2,1,1,–
Couriers and messengers,889,30,93,235,200,140,139,52,40.6
Public safety telecommunicators,80,2,8,24,9,25,10,1,37.8
"Dispatchers, except police, fire, and ambulance",172,1,10,49,44,35,25,6,41.1
"Meter readers, utilities",15,0,1,6,2,2,1,3,–
Postal service clerks,92,0,3,28,17,15,22,7,44.1
Postal service mail carriers,309,2,14,55,70,74,83,12,46.4
"Postal service mail sorters, processors, and processing machine operators",44,0,3,13,9,6,7,5,–
"Production, planning, and expediting clerks",223,2,13,56,58,37,43,14,43.1
"Shipping, receiving, and inventory clerks",613,8,58,156,116,137,106,31,42.5
"Weighers, measurers, checkers, and samplers, recordkeeping",69,5,6,15,15,14,10,4,40.1
Executive secretaries and executive administrative assistants,234,0,5,50,40,51,68,19,49.1
Legal secretaries and administrative assistants,43,0,1,8,3,3,16,12,–
Medical secretaries and administrative assistants,85,0,8,17,19,16,22,4,45.9
"Secretaries and administrative assistants, except legal, medical, and executive","1,758",15,92,317,331,358,469,177,48.2
Data entry keyers,226,5,17,62,54,44,29,14,40.8
Word processors and typists,43,1,7,5,9,2,14,6,–
Desktop publishers,1,0,0,0,0,1,0,0,–
Insurance claims and policy processing clerks,299,3,11,97,68,60,47,13,41.7
"Mail clerks and mail machine operators, except postal service",45,1,9,8,10,10,3,4,–
"Office clerks, general","1,253",63,154,243,225,239,224,105,42.4
"Office machine operators, except computer",24,0,7,6,4,2,2,2,–
Proofreaders and copy markers,14,0,1,2,2,2,3,4,–
Statistical assistants,13,0,5,3,0,0,4,1,–
"Office and administrative support workers, all other",718,6,53,184,172,138,109,56,41.9
,,,,,,,,,
"Natural resources, construction, and maintenance occupations","14,391",440,"1,412","3,308","3,359","2,855","2,309",709,41.3
"Farming, fishing, and forestry occupations",970,83,102,194,204,177,136,76,40.2
"First-line supervisors of farming, fishing, and forestry workers",54,1,3,9,10,15,11,5,49.8
Agricultural inspectors,15,0,0,3,3,3,4,2,–
Animal breeders,8,0,0,3,2,3,0,0,–
"Graders and sorters, agricultural products",50,3,1,12,12,12,9,2,43.5
Miscellaneous agricultural workers,757,77,88,152,163,127,94,55,38.8
Fishing and hunting workers,27,1,2,6,7,3,4,4,–
Forest and conservation workers,11,0,3,2,2,1,1,2,–
Logging workers,48,1,5,6,5,13,13,5,–
Construction and extraction occupations,"8,520",227,840,"1,975","2,075","1,730","1,301",371,41.1
First-line supervisors of construction trades and extraction workers,792,3,26,153,195,214,160,41,45.3
Boilermakers,15,0,1,1,5,5,2,2,–
"Brickmasons, blockmasons, and stonemasons",128,4,13,27,35,27,14,7,40.3
Carpenters,"1,279",32,103,276,333,284,207,44,41.8
"Carpet, floor, and tile installers and finishers",128,1,12,31,32,29,19,5,41.1
"Cement masons, concrete finishers, and terrazzo workers",51,1,4,12,13,12,9,0,41.8
Construction laborers,"2,293",104,247,533,560,452,296,101,40.1
Construction equipment operators,396,4,34,81,92,83,84,19,43.3
"Drywall installers, ceiling tile installers, and tapers",140,4,13,37,36,29,17,4,40.2
Electricians,992,21,132,258,223,176,136,47,39.6
Glaziers,30,1,3,5,6,6,8,2,–
Insulation workers,40,0,6,15,10,7,1,1,–
Painters and paperhangers,539,10,62,125,121,104,89,29,41.1
Pipelayers,47,1,8,11,16,6,4,2,–
"Plumbers, pipefitters, and steamfitters",636,17,67,158,154,111,101,29,40.1
Plasterers and stucco masons,25,1,1,5,8,5,4,1,–
Reinforcing iron and rebar workers,8,0,4,1,0,1,1,0,–
Roofers,240,7,32,66,65,38,28,4,37.9
Sheet metal workers,146,5,11,38,30,36,22,5,41.8
Structural iron and steel workers,35,0,5,9,6,7,8,0,–
Solar photovoltaic installers,22,0,3,10,6,2,0,0,–
"Helpers, construction trades",55,6,18,16,8,4,2,1,26.6
Construction and building inspectors,104,0,5,21,11,21,33,13,51.7
Elevator and escalator installers and repairers,29,0,0,6,10,4,8,2,–
Fence erectors,38,1,3,10,7,5,11,2,–
Hazardous materials removal workers,26,0,1,8,5,5,4,3,–
Highway maintenance workers,73,2,6,14,25,14,10,3,41.5
Rail-track laying and maintenance equipment operators,11,0,2,1,3,5,0,0,–
Septic tank servicers and sewer pipe cleaners,11,0,0,2,2,4,3,0,–
Miscellaneous construction and related workers,34,1,4,10,12,4,2,2,–
"Derrick, rotary drill, and service unit operators, oil and gas",20,0,3,2,10,4,1,0,–
"Excavating and loading machine and dragline operators, surface mining",4,0,0,0,2,0,0,2,–
"Earth drillers, except oil and gas",37,0,1,16,8,7,5,0,–
"Explosives workers, ordnance handling experts, and blasters",11,0,2,2,2,4,0,1,–
Underground mining machine operators,29,0,2,8,9,5,4,0,–
"Roustabouts, oil and gas",7,0,1,2,3,1,0,0,–
Other extraction workers,47,3,5,8,13,12,7,1,–
"Installation, maintenance, and repair occupations","4,901",131,469,"1,139","1,081",948,872,262,41.9
"First-line supervisors of mechanics, installers, and repairers",272,1,7,38,61,84,69,11,48.6
"Computer, automated teller, and office machine repairers",125,3,12,30,27,24,17,11,43.3
Radio and telecommunications equipment installers and repairers,100,0,6,26,18,25,21,4,44.2
Avionics technicians,12,0,0,4,7,1,1,0,–
"Electric motor, power tool, and related repairers",18,0,4,5,2,2,4,1,–
"Electrical and electronics installers and repairers, transportation equipment",3,0,0,2,0,0,1,1,–
"Electrical and electronics repairers, industrial and utility",7,0,0,3,2,1,1,0,–
"Electronic equipment installers and repairers, motor vehicles",8,0,1,2,2,0,2,0,–
Audiovisual equipment installers and repairers,18,1,4,2,5,5,2,0,–
Security and fire alarm systems installers,70,2,11,14,18,11,13,2,41.3
Aircraft mechanics and service technicians,158,1,15,39,46,25,30,4,40.1
Automotive body and related repairers,128,10,14,30,19,24,24,7,40.7
Automotive glass installers and repairers,17,0,0,3,6,4,3,0,–
Automotive service technicians and mechanics,914,44,115,234,199,165,121,36,38.9
Bus and truck mechanics and diesel engine specialists,334,6,36,82,78,61,49,21,41.7
Heavy vehicle and mobile equipment service technicians and mechanics,191,3,15,48,45,41,35,5,41.6
Small engine mechanics,38,1,3,5,10,7,9,2,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",97,15,18,15,26,10,10,4,34.3
Control and valve installers and repairers,19,0,2,5,7,2,4,0,–
"Heating, air conditioning, and refrigeration mechanics and installers",495,13,57,150,104,97,56,18,38.5
Home appliance repairers,34,0,1,9,10,9,4,1,–
Industrial and refractory machinery mechanics,373,3,19,85,82,66,89,27,44.6
"Maintenance and repair workers, general",725,9,56,136,138,148,171,67,46.8
"Maintenance workers, machinery",31,0,2,7,8,5,7,2,–
Millwrights,40,1,2,8,7,9,11,1,–
Electrical power-line installers and repairers,131,1,20,44,33,17,13,3,36.3
Telecommunications line installers and repairers,127,1,13,28,33,23,25,4,41.5
Precision instrument and equipment repairers,55,0,3,14,13,10,8,7,44.0
Wind turbine service technicians,8,0,3,1,3,0,1,0,–
"Coin, vending, and amusement machine servicers and repairers",36,0,6,8,4,9,8,2,–
Commercial divers,6,0,1,2,1,0,2,0,–
Locksmiths and safe repairers,44,1,1,7,9,11,11,4,–
Manufactured building and mobile home installers,7,0,2,0,2,2,1,0,–
Riggers,12,0,0,3,1,7,1,0,–
"Helpers--installation, maintenance, and repair workers",23,6,6,3,3,1,2,0,–
"Other installation, maintenance, and repair workers",225,6,15,48,52,42,46,16,44.1
,,,,,,,,,
"Production, transportation, and material moving occupations","19,873",762,"2,046","4,318","4,071","3,843","3,513","1,320",42.2
Production occupations,"7,944",197,689,"1,765","1,743","1,629","1,450",470,42.9
First-line supervisors of production and operating workers,767,4,25,169,199,187,145,37,44.9
"Aircraft structure, surfaces, rigging, and systems assemblers",2,0,0,1,0,0,0,0,–
"Electrical, electronics, and electromechanical assemblers",115,1,8,26,18,32,22,8,47.2
Engine and other machine assemblers,7,0,0,4,1,1,1,0,–
Structural metal fabricators and fitters,22,1,1,5,5,3,4,2,–
Other assemblers and fabricators,899,20,74,196,186,199,172,53,43.4
Bakers,243,12,37,62,45,50,29,8,37.1
"Butchers and other meat, poultry, and fish processing workers",239,5,21,59,64,40,35,13,41.5
"Food and tobacco roasting, baking, and drying machine operators and tenders",12,0,0,7,2,1,1,0,–
Food batchmakers,98,6,9,25,25,20,7,6,39.2
Food cooking machine operators and tenders,13,2,2,3,0,3,3,0,–
"Food processing workers, all other",133,6,11,26,36,22,23,9,42.3
Computer numerically controlled tool operators and programmers,91,2,10,22,20,16,20,1,41.6
"Forming machine setters, operators, and tenders, metal and plastic",22,0,1,5,4,4,8,0,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",52,2,2,14,8,12,11,2,44.3
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",40,0,0,9,9,10,11,1,–
"Other machine tool setters, operators, and tenders, metal and plastic",7,1,0,1,2,0,2,1,–
Machinists,281,4,14,56,59,56,74,19,46.9
"Metal furnace operators, tenders, pourers, and casters",15,0,1,2,7,3,1,1,–
"Model makers and patternmakers, metal and plastic",1,0,0,0,0,1,0,0,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",24,0,6,5,4,4,5,0,–
Tool and die makers,36,0,0,5,5,7,16,3,–
"Welding, soldering, and brazing workers",592,18,72,152,140,102,88,20,39.7
Other metal workers and plastic workers,305,5,33,60,67,65,60,15,43.4
Prepress technicians and workers,19,0,1,4,2,5,5,3,–
Printing press operators,132,3,10,17,31,31,31,7,46.2
Print binding and finishing workers,15,0,2,1,6,6,0,0,–
Laundry and dry-cleaning workers,111,3,10,19,18,12,30,18,48.9
"Pressers, textile, garment, and related materials",25,1,1,3,3,10,5,2,–
Sewing machine operators,114,3,9,13,20,32,25,12,49.5
Shoe and leather workers,10,1,0,1,3,1,2,2,–
"Tailors, dressmakers, and sewers",65,1,1,12,11,16,12,12,51.7
"Textile machine setters, operators, and tenders",20,2,1,4,6,3,4,1,–
Upholsterers,18,0,0,2,4,5,6,1,–
"Other textile, apparel, and furnishings workers",8,0,0,0,2,2,5,0,–
Cabinetmakers and bench carpenters,43,1,3,7,13,5,11,3,–
Furniture finishers,17,0,0,1,4,4,5,3,–
"Sawing machine setters, operators, and tenders, wood",21,2,4,5,2,3,4,1,–
"Woodworking machine setters, operators, and tenders, except sawing",14,0,2,1,4,2,4,1,–
Other woodworkers,27,0,2,7,4,7,4,3,–
"Power plant operators, distributors, and dispatchers",40,0,2,10,9,10,7,2,–
Stationary engineers and boiler operators,96,0,4,13,24,19,28,7,47.6
Water and wastewater treatment plant and system operators,107,2,6,25,22,26,23,4,43.5
Miscellaneous plant and system operators,48,0,2,15,11,15,3,1,–
"Chemical processing machine setters, operators, and tenders",46,0,5,14,12,8,6,1,–
"Crushing, grinding, polishing, mixing, and blending workers",82,0,4,24,22,17,11,5,41.7
Cutting workers,52,2,4,10,13,5,7,10,44.3
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",14,0,1,3,2,6,2,0,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",14,2,2,2,2,4,1,1,–
"Inspectors, testers, sorters, samplers, and weighers",768,23,71,165,167,136,153,54,43.2
Jewelers and precious stone and metal workers,36,0,2,3,9,9,3,10,–
Dental and ophthalmic laboratory technicians and medical appliance technicians,72,2,2,15,17,16,11,9,44.8
Packaging and filling machine operators and tenders,278,9,31,62,52,56,45,23,41.8
Painting workers,162,6,17,30,38,38,25,8,42.9
Photographic process workers and processing machine operators,32,0,4,10,2,9,5,3,–
Adhesive bonding machine operators and tenders,7,0,0,2,0,1,3,0,–
Etchers and engravers,2,0,0,0,1,1,0,0,–
"Molders, shapers, and casters, except metal and plastic",34,0,2,9,5,9,5,4,–
"Paper goods machine setters, operators, and tenders",12,0,0,1,4,3,4,0,–
Tire builders,7,0,0,2,1,2,1,0,–
Helpers--production workers,64,8,17,9,11,9,4,5,30.5
Other production equipment operators and tenders,4,0,0,1,0,0,2,0,–
Other production workers,"1,294",37,137,328,280,252,207,53,40.8
Transportation and material moving occupations,"11,930",565,"1,357","2,554","2,328","2,213","2,062",849,41.6
Supervisors of transportation and material moving workers,322,5,16,62,83,84,62,10,43.7
Aircraft pilots and flight engineers,213,1,13,31,53,55,49,11,46.6
Air traffic controllers and airfield operations specialists,35,0,1,11,14,3,5,0,–
Flight attendants,129,0,12,36,23,28,23,8,42.9
"Ambulance drivers and attendants, except emergency medical technicians",23,0,10,4,3,3,3,0,–
"Bus drivers, school",201,0,1,27,24,37,60,53,56.0
"Bus drivers, transit and intercity",271,0,5,34,44,49,78,62,54.5
Driver/sales workers and truck drivers,"3,578",47,214,717,786,771,763,279,45.6
Shuttle drivers and chauffeurs,79,0,3,5,15,14,21,20,54.0
Taxi drivers,514,1,16,91,127,140,103,35,45.7
"Motor vehicle operators, all other",231,1,13,32,57,41,46,41,46.8
Locomotive engineers and operators,41,0,1,9,11,13,5,2,–
Railroad conductors and yardmasters,51,1,5,6,18,14,6,1,42.6
Other rail transportation workers,19,0,0,5,7,4,2,1,–
Sailors and marine oilers,21,2,3,6,5,3,1,1,–
Ship and boat captains and operators,44,2,2,17,6,7,7,4,–
Ship engineers,3,0,0,1,1,0,0,1,–
Parking attendants,54,7,9,7,10,15,5,2,38.3
Transportation service attendants,75,9,23,14,6,8,12,2,29.6
Transportation inspectors,40,0,2,11,5,10,11,2,–
Passenger attendants,30,0,1,2,5,5,9,8,–
Other transportation workers,45,1,2,17,5,9,5,5,–
Crane and tower operators,53,0,5,8,13,18,7,1,44.2
"Conveyor, dredge, and hoist and winch operators",31,0,2,6,10,6,6,2,–
Industrial truck and tractor operators,602,12,67,148,131,128,95,21,40.6
Cleaners of vehicles and equipment,371,54,59,88,51,58,42,18,32.7
"Laborers and freight, stock, and material movers, hand","2,286",174,377,586,384,349,309,107,36.1
Machine feeders and offbearers,26,1,0,9,5,5,5,0,–
"Packers and packagers, hand",661,53,121,165,123,90,83,27,35.6
Stockers and order fillers,"1,694",188,361,362,249,208,215,110,33.3
Pumping station operators,19,0,1,4,6,4,2,2,–
Refuse and recyclable material collectors,104,3,6,17,34,23,14,7,43.1
Other material moving workers,65,2,9,15,13,12,9,4,39.4
,,,,,,,,,
"NOTE: Median age represents the midpoint in the age distribution such that half of workers are younger and half are older. Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,,,,