Occupation,Total employed,Women,White,Black or African American,Asian,Hispanic or Latino
"Total, 16 years and over","161,346",47.1,76.3,12.8,7.0,19.4
"Management,  professional, and related occupations","70,744",52.3,76.7,10.6,9.4,11.4
"Management, business, and financial operations occupations","30,602",45.7,79.8,9.7,7.4,11.8
Management occupations,"20,657",41.8,81.0,9.1,6.9,12.3
Chief executives,"1,728",33.0,86.0,6.1,6.4,6.1
General and operations managers,"1,440",33.8,80.1,9.8,5.3,12.3
Legislators,15,–,–,–,–,–
Advertising and promotions managers,54,55.8,92.0,4.1,3.6,9.8
Marketing managers,513,64.2,82.6,4.4,9.0,10.4
Sales managers,555,32.9,87.4,7.8,3.1,10.2
Public relations and fundraising managers,149,70.1,88.5,6.5,3.7,12.3
Administrative services managers,87,74.6,80.8,9.8,7.1,11.4
Facilities managers,142,21.5,79.9,13.0,6.3,8.5
Computer and information systems managers,732,30.1,71.9,6.7,19.5,8.2
Financial managers,"1,445",53.4,77.4,10.2,9.5,10.6
Compensation and benefits managers,13,–,–,–,–,–
Human resources managers,306,76.1,78.9,13.1,5.1,14.8
Training and development managers,62,65.8,88.1,7.8,0.0,9.8
Industrial production managers,290,23.8,81.1,8.5,7.6,14.9
Purchasing managers,221,47.5,83.0,8.0,5.5,8.6
"Transportation, storage, and distribution managers",380,21.8,77.2,13.5,6.2,14.8
"Farmers, ranchers, and other agricultural managers",858,27.0,96.0,1.4,0.5,6.5
Construction managers,"1,251",10.5,89.4,4.8,2.8,17.6
Education and childcare administrators,"1,006",66.2,78.0,16.0,3.5,10.3
Architectural and engineering managers,201,10.6,75.8,5.2,17.5,8.1
Food service managers,"1,192",48.8,75.1,10.1,10.8,21.3
Funeral home managers,14,–,–,–,–,–
Entertainment and recreation managers,72,46.2,80.0,7.8,3.3,28.8
Lodging managers,129,53.9,75.6,11.6,7.7,14.4
Medical and health services managers,824,73.9,76.4,14.2,5.1,14.1
Natural sciences managers,53,66.7,75.1,9.5,11.2,2.4
Postmasters and mail superintendents,23,–,–,–,–,–
"Property, real estate, and community association managers",790,47.0,79.6,10.7,6.6,13.8
Social and community service managers,493,72.8,77.2,14.8,4.0,10.4
Emergency management directors,18,–,–,–,–,–
"Personal service managers, all other",11,–,–,–,–,–
"Managers, all other","5,591",38.7,80.1,9.3,7.5,13.2
Business and financial operations occupations,"9,945",53.8,77.3,10.8,8.4,10.9
"Agents and business managers of artists, performers, and athletes",42,–,–,–,–,–
"Buyers and purchasing agents, farm products",9,–,–,–,–,–
"Wholesale and retail buyers, except farm products",171,46.9,83.6,5.8,5.6,13.4
"Purchasing agents, except wholesale, retail, and farm products",278,47.6,78.2,10.6,7.5,9.1
"Claims adjusters, appraisers, examiners, and investigators",382,57.1,72.8,20.9,4.3,10.0
Compliance officers,311,55.0,76.4,14.4,5.5,12.5
Cost estimators,148,20.0,92.2,1.3,2.6,13.8
Human resources workers,944,75.5,76.6,14.3,4.9,15.2
"Compensation, benefits, and job analysis specialists",46,–,–,–,–,–
Training and development specialists,155,57.1,79.2,14.1,1.8,13.7
Logisticians,193,36.1,66.4,22.0,6.5,14.1
Project management specialists,966,47.2,78.7,9.6,9.4,8.2
Management analysts,"1,099",40.9,77.2,8.4,10.9,8.8
"Meeting, convention, and event planners",145,75.3,84.0,8.0,5.5,11.6
Fundraisers,76,66.9,87.3,8.9,3.2,7.1
Market research analysts and marketing specialists,632,65.9,76.8,7.8,10.7,10.0
"Business operations specialists, all other",717,61.2,76.7,11.7,6.5,13.6
Accountants and auditors,"1,778",57.2,75.6,9.8,11.8,11.1
Property appraisers and assessors,80,40.1,94.1,0.0,3.0,7.4
Budget analysts,49,–,–,–,–,–
Credit analysts,40,–,–,–,–,–
Financial and investment analysts,406,42.7,70.7,11.4,14.9,7.8
Personal financial advisors,528,33.8,84.3,5.8,7.6,7.2
Insurance underwriters,124,61.9,78.1,14.6,5.4,8.8
Financial examiners,23,–,–,–,–,–
Credit counselors and loan officers,313,52.8,83.5,10.3,2.3,10.7
"Tax examiners and collectors, and revenue agents",45,–,–,–,–,–
Tax preparers,113,60.4,80.5,8.0,6.0,23.8
Other financial specialists,132,53.1,67.7,16.0,12.5,8.6
Professional and related occupations,"40,142",57.4,74.3,11.3,10.9,11.1
Computer and mathematical occupations,"6,386",26.4,64.2,9.6,23.3,8.3
Computer and information research scientists,36,–,–,–,–,–
Computer systems analysts,547,43.1,69.3,10.1,18.9,10.4
Information security analysts,243,18.9,74.5,18.1,5.9,10.3
Computer programmers,334,17.8,70.4,8.9,17.1,10.8
Software developers,"2,077",20.3,54.2,6.2,36.8,5.7
Software quality assurance analysts and testers,82,45.7,56.3,14.3,16.7,10.3
Web developers,54,30.8,82.1,2.8,8.9,9.5
Web and digital interface designers,96,47.5,81.6,5.8,12.6,6.4
Computer support specialists,633,26.9,67.4,13.7,15.1,8.5
Database administrators and architects,148,28.9,65.9,6.8,26.8,3.4
Network and computer systems administrators,154,17.1,77.8,8.2,9.8,15.3
Computer network architects,139,7.1,64.6,14.3,19.5,8.5
"Computer occupations, all other","1,188",24.4,66.9,12.5,18.4,10.1
Actuaries,36,–,–,–,–,–
Mathematicians,5,–,–,–,–,–
Operations research analysts,176,48.6,69.6,10.7,14.9,10.2
Statisticians,70,41.1,73.9,10.9,13.3,4.5
Other mathematical science occupations,369,40.9,68.1,9.7,19.8,9.7
Architecture and engineering occupations,"3,552",17.2,76.8,7.3,13.1,10.5
"Architects, except landscape and naval",209,27.4,79.2,6.0,9.6,10.4
Landscape architects,18,–,–,–,–,–
"Surveyors, cartographers, and photogrammetrists",48,–,–,–,–,–
Aerospace engineers,182,10.5,78.1,9.4,9.5,5.2
Agricultural engineers,2,–,–,–,–,–
Bioengineers and biomedical engineers,25,–,–,–,–,–
Chemical engineers,79,20.8,83.2,2.0,12.0,4.6
Civil engineers,523,17.2,79.7,7.1,10.4,13.0
Computer hardware engineers,85,14.3,60.2,6.7,30.3,8.8
Electrical and electronics engineers,266,12.7,68.6,5.8,24.3,9.2
Environmental engineers,33,–,–,–,–,–
"Industrial engineers, including health and safety",268,24.1,73.2,6.7,17.0,11.8
Marine engineers and naval architects,20,–,–,–,–,–
Materials engineers,48,–,–,–,–,–
Mechanical engineers,389,11.4,80.9,7.0,9.8,7.1
"Mining and geological engineers, including mining safety engineers",7,–,–,–,–,–
Nuclear engineers,7,–,–,–,–,–
Petroleum engineers,23,–,–,–,–,–
"Engineers, all other",697,15.9,72.4,7.2,18.3,8.9
Architectural and civil drafters,38,–,–,–,–,–
Other drafters,92,20.7,90.0,2.0,6.8,13.7
Electrical and electronic engineering technologists and technicians,85,3.4,76.6,15.2,5.7,17.9
"Other engineering technologists and technicians, except drafters",355,21.3,76.5,12.7,6.1,16.8
Surveying and mapping technicians,53,22.1,89.5,3.7,5.1,9.2
"Life, physical, and social science occupations","1,877",50.7,72.6,8.4,15.0,9.7
Agricultural and food scientists,23,–,–,–,–,–
Biological scientists,105,54.7,80.8,3.3,10.7,5.4
Conservation scientists and foresters,24,–,–,–,–,–
Medical scientists,127,54.0,55.3,10.0,30.3,10.3
"Life scientists, all other",6,–,–,–,–,–
Astronomers and physicists,23,–,–,–,–,–
Atmospheric and space scientists,8,–,–,–,–,–
Chemists and materials scientists,87,46.3,74.8,7.0,16.6,11.4
"Environmental scientists and specialists, including health",51,54.7,79.0,0.0,7.9,10.3
"Geoscientists and hydrologists, except geographers",37,–,–,–,–,–
"Physical scientists, all other",474,46.9,62.4,7.6,26.6,7.4
Economists,28,–,–,–,–,–
Survey researchers,1,–,–,–,–,–
Clinical and counseling psychologists,16,–,–,–,–,–
School psychologists,52,84.4,87.0,7.8,1.6,5.1
Other psychologists,163,70.7,85.8,8.2,5.7,8.9
Sociologists,4,–,–,–,–,–
Urban and regional planners,45,–,–,–,–,–
Miscellaneous social scientists and related workers,38,–,–,–,–,–
Agricultural and food science technicians,52,34.8,86.0,6.2,4.7,17.2
Biological technicians,21,–,–,–,–,–
Chemical technicians,57,33.3,76.0,18.4,4.7,19.9
Environmental science and geoscience technicians,18,–,–,–,–,–
Nuclear technicians,6,–,–,–,–,–
Social science research assistants,6,–,–,–,–,–
"Other life, physical, and social science technicians",340,53.3,68.7,11.8,14.3,11.9
Occupational health and safety specialists and technicians,67,35.1,74.2,17.3,5.5,22.0
Community and social service occupations,"2,950",69.6,71.8,19.1,4.2,13.8
Substance abuse and behavioral disorder counselors,130,72.5,76.5,19.0,2.6,14.9
"Educational, guidance, and career counselors and advisors",388,76.9,77.5,13.6,3.0,16.4
Marriage and family therapists,31,–,–,–,–,–
Mental health counselors,199,73.5,71.5,21.7,2.0,5.2
Rehabilitation counselors,13,–,–,–,–,–
"Counselors, all other",285,72.9,69.7,24.1,1.9,10.2
"Child, family, and school social workers",68,79.8,76.9,15.0,3.5,15.6
Healthcare social workers,75,85.3,70.5,12.0,13.2,19.5
Mental health and substance abuse social workers,22,–,–,–,–,–
"Social workers, all other",732,83.4,65.6,24.7,4.7,17.0
Probation officers and correctional treatment specialists,72,62.5,62.0,26.5,2.6,13.7
Social and human service assistants,265,75.1,66.9,23.6,4.6,21.4
Other community and social service specialists,109,65.9,64.9,24.1,3.4,12.6
Clergy,395,23.7,76.1,12.2,6.3,6.4
"Directors, religious activities and education",71,67.7,91.5,6.9,0.9,8.2
"Religious workers, all other",94,71.2,83.5,6.6,9.1,7.3
Legal occupations,"1,832",54.2,82.1,9.9,5.7,10.6
Lawyers,"1,146",42.0,85.0,7.0,6.3,6.5
Judicial law clerks,21,–,–,–,–,–
"Judges, magistrates, and other judicial workers",68,46.9,68.2,26.2,1.9,17.2
Paralegals and legal assistants,428,81.3,78.6,13.6,4.1,18.9
"Title examiners, abstractors, and searchers",93,75.3,83.4,7.7,6.7,7.0
"Legal support workers, all other",75,66.0,69.6,23.1,7.1,22.5
"Education, training, and library occupations","9,587",73.4,78.7,11.1,6.5,12.6
Postsecondary teachers,"1,072",49.9,75.7,8.1,13.6,7.6
Preschool and kindergarten teachers,624,96.8,69.1,18.9,7.3,17.9
Elementary and middle school teachers,"3,632",77.7,82.5,11.0,4.2,11.6
Secondary school teachers,887,60.5,86.2,7.9,3.4,9.1
Special education teachers,318,85.7,85.1,9.2,1.2,11.6
Tutors,173,66.6,71.4,9.6,12.8,12.4
Other teachers and instructors,965,63.2,76.5,12.4,6.3,13.1
"Archivists, curators, and museum technicians",77,55.6,90.2,5.7,2.3,8.8
Librarians and media collections specialists,180,89.2,84.2,6.7,4.0,13.1
Library technicians,32,–,–,–,–,–
Teaching assistants,"1,436",81.2,71.9,12.5,10.0,18.4
Other educational instruction and library workers,190,79.0,71.1,15.0,6.3,12.6
"Arts, design, entertainment, sports, and media occupations","3,483",50.8,79.7,9.3,6.5,12.5
Artists and related workers,318,53.8,78.9,10.3,6.0,14.3
Commercial and industrial designers,16,–,–,–,–,–
Fashion designers,38,–,–,–,–,–
Floral designers,45,–,–,–,–,–
Graphic designers,294,59.1,83.1,5.5,8.4,12.1
Interior designers,117,81.9,88.5,3.9,3.6,13.6
Merchandise displayers and window trimmers,40,–,–,–,–,–
Other designers,419,45.0,77.5,6.7,11.7,11.3
Actors,57,62.0,77.6,19.6,1.4,14.7
Producers and directors,175,39.7,81.1,12.5,3.2,11.3
Athletes and sports competitors,23,–,–,–,–,–
Coaches and scouts,340,48.5,76.8,13.7,3.7,13.3
"Umpires, referees, and other sports officials",33,–,–,–,–,–
Dancers and choreographers,17,–,–,–,–,–
Music directors and composers,47,–,–,–,–,–
Musicians and singers,168,29.0,81.3,7.6,3.5,6.3
"Disc jockeys, except radio",24,–,–,–,–,–
"Entertainers and performers, sports and related workers, all other",38,–,–,–,–,–
Broadcast announcers and radio disc jockeys,20,–,–,–,–,–
"News analysts, reporters, and journalists",73,48.0,62.6,16.3,17.9,10.0
Public relations specialists,114,67.8,73.4,14.2,5.0,12.7
Editors,132,72.6,84.2,8.9,5.9,8.5
Technical writers,63,59.8,78.9,9.1,6.1,8.3
Writers and authors,257,64.7,85.6,7.3,5.1,4.8
Interpreters and translators,92,74.8,82.5,2.4,14.1,44.8
Court reporters and simultaneous captioners,24,–,–,–,–,–
"Media and communication workers, all other",38,–,–,–,–,–
"Broadcast, sound, and lighting technicians",117,9.2,79.8,11.5,2.8,18.1
Photographers,210,43.5,84.6,3.9,5.2,13.1
"Television, video, and film camera operators and editors",133,26.1,71.4,11.5,10.3,11.8
"Media and communication equipment workers, all other",2,–,–,–,–,–
Healthcare practitioners and technical occupations,"10,475",75.8,73.5,13.3,10.2,10.7
Chiropractors,55,31.2,88.5,1.8,6.8,1.8
Dentists,169,38.8,77.6,4.7,14.4,15.4
Dietitians and nutritionists,142,92.1,76.3,14.8,2.5,13.7
Optometrists,36,–,–,–,–,–
Pharmacists,326,59.7,70.1,7.5,21.0,5.1
Emergency medicine physicians,20,–,–,–,–,–
Radiologists,26,–,–,–,–,–
Other physicians,904,44.5,67.5,7.3,23.2,6.5
Surgeons,41,–,–,–,–,–
Physician assistants,182,72.8,80.7,7.4,7.6,11.6
Podiatrists,8,–,–,–,–,–
Audiologists,31,–,–,–,–,–
Occupational therapists,155,87.5,84.6,6.6,2.4,3.8
Physical therapists,320,63.8,81.1,3.7,11.0,4.6
Radiation therapists,8,–,–,–,–,–
Recreational therapists,10,–,–,–,–,–
Respiratory therapists,84,82.1,76.6,10.1,9.6,11.5
Speech-language pathologists,212,95.4,90.1,5.9,2.5,8.9
Exercise physiologists,5,–,–,–,–,–
"Therapists, all other",385,80.6,77.5,14.5,4.2,14.2
Veterinarians,98,68.6,92.6,1.2,3.6,8.5
Registered nurses,"3,571",86.8,72.0,15.8,9.8,9.8
Nurse anesthetists,31,–,–,–,–,–
Nurse midwives,18,–,–,–,–,–
Nurse practitioners,288,88.1,78.1,11.7,9.5,6.8
Acupuncturists,20,–,–,–,–,–
"Healthcare diagnosing or treating practitioners, all other",16,–,–,–,–,–
Clinical laboratory technologists and technicians,338,72.4,70.8,12.9,13.3,18.4
Dental hygienists,214,93.9,83.7,6.4,8.1,11.0
Cardiovascular technologists and technicians,61,63.4,73.4,12.8,8.7,15.9
Diagnostic medical sonographers,104,80.4,77.7,9.0,10.1,20.2
Radiologic technologists and technicians,254,69.5,78.9,10.8,7.5,12.7
Magnetic resonance imaging technologists,55,67.4,83.6,3.7,10.9,14.9
Nuclear medicine technologists and medical dosimetrists,48,–,–,–,–,–
Emergency medical technicians,173,41.0,86.1,7.8,2.2,16.5
Paramedics,95,25.3,79.3,8.5,7.9,13.8
Pharmacy technicians,354,78.9,65.3,18.4,12.6,16.2
Psychiatric technicians,138,73.7,59.1,31.2,3.1,17.5
Surgical technologists,117,69.9,74.0,16.9,8.4,14.4
Veterinary technologists and technicians,145,86.2,87.5,4.7,3.8,12.1
Dietetic technicians and ophthalmic medical technicians,83,70.9,67.3,20.1,5.1,10.1
Licensed practical and licensed vocational nurses,565,89.6,58.3,30.4,7.2,15.9
Medical records specialists,227,92.0,74.1,14.9,5.0,12.2
"Opticians, dispensing",49,–,–,–,–,–
Miscellaneous health technologists and technicians,151,69.2,63.1,22.4,8.6,10.4
Other healthcare practitioners and technical occupations,143,66.6,75.6,12.0,9.6,7.0
,,,,,,
Service occupations,"26,452",57.5,71.2,17.6,6.1,28.0
Healthcare support occupations,"5,456",84.6,61.1,26.9,7.1,21.9
Home health aides,656,88.7,51.5,31.7,11.6,28.7
Personal care aides,"1,667",81.0,58.7,28.5,7.5,22.1
Nursing assistants,"1,369",88.6,54.4,35.6,5.3,15.7
Orderlies and psychiatric aides,66,59.0,65.7,29.1,4.6,16.4
Occupational therapy assistants and aides,24,–,–,–,–,–
Physical therapist assistants and aides,99,63.9,86.6,3.6,6.0,12.2
Massage therapists,171,84.4,80.9,5.9,9.7,10.3
Dental assistants,293,91.8,76.4,9.4,7.6,30.5
Medical assistants,630,90.7,71.6,21.0,4.7,31.9
Medical transcriptionists,45,–,–,–,–,–
Pharmacy aides,36,–,–,–,–,–
Veterinary assistants and laboratory animal caretakers,62,80.4,88.3,6.4,1.5,27.3
Phlebotomists,110,90.4,58.9,30.6,3.3,18.7
Other healthcare support workers,227,67.5,60.8,23.4,10.0,13.9
Protective service occupations,"3,110",25.2,70.5,21.5,3.2,17.6
First-line supervisors of correctional officers,43,–,–,–,–,–
First-line supervisors of police and detectives,108,12.8,78.3,16.3,0.3,17.6
First-line supervisors of firefighting and prevention workers,52,6.4,83.7,11.0,0.0,3.8
First-line supervisors of security workers,70,29.0,62.6,28.0,2.1,10.6
"First-line supervisors of protective service workers, all other",2,–,–,–,–,–
Firefighters,298,6.2,83.2,9.8,3.4,15.4
Fire inspectors,21,–,–,–,–,–
Bailiffs,21,–,–,–,–,–
Correctional officers and jailers,319,32.5,66.8,27.1,1.8,15.8
Detectives and criminal investigators,151,32.9,80.6,10.7,1.7,9.8
Fish and game wardens,8,–,–,–,–,–
Parking enforcement workers,5,–,–,–,–,–
Police officers,678,14.2,79.4,14.4,3.2,19.6
Animal control workers,2,–,–,–,–,–
Private detectives and investigators,126,42.9,71.9,21.8,2.7,12.1
Security guards and gambling surveillance officers,894,27.0,54.5,34.9,4.8,20.3
Crossing guards and flaggers,56,45.5,75.9,16.1,5.8,21.5
Transportation security screeners,40,–,–,–,–,–
School bus monitors,30,–,–,–,–,–
Other protective service workers,185,50.3,82.3,5.9,2.9,17.9
Food preparation and serving related occupations,"8,061",54.3,73.4,14.0,6.6,30.7
Chefs and head cooks,515,21.6,57.2,17.7,18.3,25.1
First-line supervisors of food preparation and serving workers,486,56.8,76.1,16.2,3.5,21.2
Cooks,"2,005",42.5,71.3,16.4,6.2,41.0
Food preparation workers,895,58.5,73.7,15.0,5.9,33.2
Bartenders,450,54.3,83.9,8.2,2.0,21.5
Fast food and counter workers,831,66.6,74.7,13.9,5.2,22.8
Waiters and waitresses,"1,786",67.8,76.6,9.5,7.4,27.5
"Food servers, nonrestaurant",221,67.4,70.9,18.2,7.5,27.7
Dining room and cafeteria attendants and bartender helpers,274,43.8,75.4,15.0,3.7,35.2
Dishwashers,277,26.9,69.5,18.3,4.8,42.5
"Hosts and hostesses, restaurant, lounge, and coffee shop",310,82.3,76.3,12.5,5.8,22.9
"Food preparation and serving related workers, all other",10,–,–,–,–,–
Building and grounds cleaning and maintenance occupations,"5,770",40.7,78.6,14.1,2.8,41.6
First-line supervisors of housekeeping and janitorial workers,366,45.9,76.8,17.2,3.0,27.3
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",284,7.1,87.0,7.1,1.7,34.3
Janitors and building cleaners,"2,304",35.9,75.6,16.7,3.0,35.7
Maids and housekeeping cleaners,"1,413",87.7,76.3,15.2,4.6,52.5
Pest control workers,100,8.7,81.1,13.2,0.0,22.0
Landscaping and groundskeeping workers,"1,193",6.2,84.6,9.7,0.9,48.1
Tree trimmers and pruners,89,1.8,89.0,2.7,2.1,43.3
