Occupation,Total employed,Women,White,Black or African American,Asian,Hispanic or Latino
Other grounds maintenance workers,22,–,–,–,–,–
Personal care and service occupations,"4,055",76.1,70.5,14.3,10.6,19.4
Supervisors of personal care and service workers,242,67.7,64.8,14.0,17.6,14.5
Animal trainers,63,82.3,81.6,8.2,3.0,13.8
Animal caretakers,334,73.7,83.8,8.8,2.8,12.3
Gambling services workers,93,42.5,56.0,11.5,22.5,11.8
"Ushers, lobby attendants, and ticket takers",40,–,–,–,–,–
Other entertainment attendants and related workers,201,43.5,76.6,12.9,4.1,17.0
"Embalmers, crematory operators, and funeral attendants",19,–,–,–,–,–
"Morticians, undertakers, and funeral arrangers",33,–,–,–,–,–
Barbers,144,21.1,62.2,32.1,4.5,36.6
"Hairdressers, hairstylists, and cosmetologists",726,91.3,76.7,13.7,5.1,21.1
Manicurists and pedicurists,309,85.9,22.8,9.3,64.9,13.4
Skincare specialists,103,95.2,82.6,7.6,5.4,21.1
Other personal appearance workers,35,–,–,–,–,–
"Baggage porters, bellhops, and concierges",81,29.9,52.7,37.6,6.6,24.3
Tour and travel guides,57,38.7,89.6,1.7,3.9,13.0
Childcare workers,984,94.4,73.6,15.9,5.8,24.9
Exercise trainers and group fitness instructors,242,60.2,83.1,9.2,3.6,20.0
Recreation workers,156,68.6,73.3,16.5,3.6,12.1
Residential advisors,47,–,–,–,–,–
"Personal care and service workers, all other",146,67.3,75.2,13.8,5.6,15.1
,,,,,,
Sales and office occupations,"29,885",60.4,77.3,13.0,5.7,18.3
Sales and related occupations,"14,090",47.9,79.0,10.8,6.3,17.7
First-line supervisors of retail sales workers,"3,001",44.4,79.0,9.6,7.7,15.3
First-line supervisors of non-retail sales workers,"1,141",35.7,81.8,8.5,6.6,15.7
Cashiers,"2,569",68.9,70.3,16.1,7.9,23.6
Counter and rental clerks,62,48.0,71.7,13.7,9.5,13.1
Parts salespersons,123,24.5,90.7,4.3,2.1,15.6
Retail salespersons,"2,734",47.5,79.9,11.1,4.9,21.1
Advertising sales agents,124,54.0,89.5,3.3,4.4,12.4
Insurance sales agents,589,51.1,79.0,13.5,4.6,18.3
"Securities, commodities, and financial services sales agents",242,28.1,75.3,11.0,12.7,11.6
Travel agents,87,87.2,75.5,8.8,6.1,12.3
"Sales representatives of services, except advertising, insurance, financial services, and travel",701,31.5,82.4,7.8,5.3,13.1
"Sales representatives, wholesale and manufacturing","1,116",25.1,87.8,6.2,3.8,14.2
"Models, demonstrators, and product promoters",52,77.1,64.1,12.4,6.6,33.6
Real estate brokers and sales agents,"1,016",56.7,82.3,9.7,6.0,12.7
Sales engineers,47,–,–,–,–,–
Telemarketers,22,–,–,–,–,–
"Door-to-door sales workers, news and street vendors, and related workers",62,45.4,80.0,17.5,1.4,25.4
"Sales and related workers, all other",402,52.8,80.3,11.6,4.8,16.9
Office and administrative support occupations,"15,795",71.6,75.8,15.0,5.2,18.7
First-line supervisors of office and administrative support workers,"1,186",68.2,81.1,10.8,4.2,15.2
"Switchboard operators, including answering service",12,–,–,–,–,–
Telephone operators,16,–,–,–,–,–
"Communications equipment operators, all other",7,–,–,–,–,–
Bill and account collectors,113,74.8,64.9,30.2,2.4,19.1
Billing and posting clerks,392,86.6,77.1,15.5,3.9,17.6
"Bookkeeping, accounting, and auditing clerks","1,197",85.1,82.1,8.6,6.2,13.8
Gambling cage workers,20,–,–,–,–,–
Payroll and timekeeping clerks,130,91.2,79.2,12.0,6.0,18.0
Procurement clerks,48,–,–,–,–,–
Tellers,231,80.9,73.6,15.2,5.7,17.7
"Financial clerks, all other",148,60.9,73.0,12.4,10.7,19.8
Brokerage clerks,8,–,–,–,–,–
Correspondence clerks,7,–,–,–,–,–
"Court, municipal, and license clerks",74,81.4,75.1,20.2,0.5,22.1
"Credit authorizers, checkers, and clerks",28,–,–,–,–,–
Customer service representatives,"2,632",65.7,72.2,18.0,5.7,21.4
"Eligibility interviewers, government programs",76,76.5,66.5,28.1,0.0,26.5
File Clerks,125,78.1,72.4,15.3,5.0,21.4
"Hotel, motel, and resort desk clerks",85,74.4,71.7,20.0,4.4,11.9
"Interviewers, except eligibility and loan",188,76.9,59.6,29.0,5.1,15.6
"Library assistants, clerical",66,84.2,71.1,13.8,7.2,13.4
Loan interviewers and clerks,102,71.2,83.2,14.2,0.8,9.9
New accounts clerks,15,–,–,–,–,–
Order clerks,94,56.7,80.2,9.0,6.6,26.3
"Human resources assistants, except payroll and timekeeping",93,84.6,71.5,18.1,8.6,18.3
Receptionists and information clerks,"1,201",88.4,77.7,13.7,4.7,22.2
Reservation and transportation ticket agents and travel clerks,117,48.3,62.8,19.7,8.0,23.6
"Information and record clerks, all other",112,78.3,72.6,20.7,3.9,18.5
Cargo and freight agents,13,–,–,–,–,–
Couriers and messengers,889,29.8,68.4,21.6,5.7,23.6
Public safety telecommunicators,80,59.2,86.1,8.4,0.5,14.7
"Dispatchers, except police, fire, and ambulance",172,57.5,81.6,7.6,6.3,26.5
"Meter readers, utilities",15,–,–,–,–,–
Postal service clerks,92,53.1,50.4,40.1,6.7,8.8
Postal service mail carriers,309,33.9,66.3,21.2,8.5,9.0
"Postal service mail sorters, processors, and processing machine operators",44,–,–,–,–,–
"Production, planning, and expediting clerks",223,51.2,81.6,11.2,5.2,13.9
"Shipping, receiving, and inventory clerks",613,35.9,75.8,16.1,4.2,29.8
"Weighers, measurers, checkers, and samplers, recordkeeping",69,57.8,71.8,25.2,1.6,20.6
Executive secretaries and executive administrative assistants,234,95.6,70.2,19.3,5.7,18.7
Legal secretaries and administrative assistants,43,–,–,–,–,–
Medical secretaries and administrative assistants,85,92.9,81.7,7.9,5.9,22.5
"Secretaries and administrative assistants, except legal, medical, and executive","1,758",91.4,83.3,9.2,4.0,14.5
Data entry keyers,226,72.6,71.4,15.8,7.6,19.3
Word processors and typists,43,–,–,–,–,–
Desktop publishers,1,–,–,–,–,–
Insurance claims and policy processing clerks,299,78.7,72.0,21.9,3.3,17.7
"Mail clerks and mail machine operators, except postal service",45,–,–,–,–,–
"Office clerks, general","1,253",80.0,74.7,14.1,6.8,20.6
"Office machine operators, except computer",24,–,–,–,–,–
Proofreaders and copy markers,14,–,–,–,–,–
Statistical assistants,13,–,–,–,–,–
"Office and administrative support workers, all other",718,74.0,77.6,13.3,4.7,16.2
,,,,,,
"Natural resources, construction, and maintenance occupations","14,391",6.0,85.3,8.1,2.0,35.6
"Farming, fishing, and forestry occupations",970,27.8,88.7,4.6,1.6,44.2
"First-line supervisors of farming, fishing, and forestry workers",54,15.4,96.9,1.8,0.0,50.0
Agricultural inspectors,15,–,–,–,–,–
Animal breeders,8,–,–,–,–,–
"Graders and sorters, agricultural products",50,65.7,80.0,13.1,5.5,71.1
Miscellaneous agricultural workers,757,28.7,89.0,4.0,1.5,46.2
Fishing and hunting workers,27,–,–,–,–,–
Forest and conservation workers,11,–,–,–,–,–
Logging workers,48,–,–,–,–,–
Construction and extraction occupations,"8,520",4.3,86.1,7.5,1.5,41.6
First-line supervisors of construction trades and extraction workers,792,6.0,86.8,8.2,1.6,26.9
Boilermakers,15,–,–,–,–,–
"Brickmasons, blockmasons, and stonemasons",128,2.9,86.2,3.5,1.7,45.8
Carpenters,"1,279",4.2,86.5,6.6,1.2,41.4
"Carpet, floor, and tile installers and finishers",128,2.0,86.4,3.8,0.7,58.9
"Cement masons, concrete finishers, and terrazzo workers",51,1.8,90.6,2.1,0.0,58.0
Construction laborers,"2,293",3.5,87.6,6.4,1.6,53.9
Construction equipment operators,396,2.3,87.8,8.6,0.4,19.9
"Drywall installers, ceiling tile installers, and tapers",140,4.2,80.5,5.1,1.8,65.8
Electricians,992,2.9,82.8,9.2,1.8,26.2
Glaziers,30,–,–,–,–,–
Insulation workers,40,–,–,–,–,–
Painters and paperhangers,539,10.8,85.7,7.7,0.7,62.9
Pipelayers,47,–,–,–,–,–
"Plumbers, pipefitters, and steamfitters",636,3.2,84.3,10.2,2.6,32.5
Plasterers and stucco masons,25,–,–,–,–,–
Reinforcing iron and rebar workers,8,–,–,–,–,–
Roofers,240,4.1,87.6,5.8,1.2,68.2
Sheet metal workers,146,6.3,84.6,8.7,3.4,21.1
Structural iron and steel workers,35,–,–,–,–,–
Solar photovoltaic installers,22,–,–,–,–,–
"Helpers, construction trades",55,8.5,88.1,6.9,0.0,44.8
Construction and building inspectors,104,11.5,86.0,5.8,6.1,15.8
Elevator and escalator installers and repairers,29,–,–,–,–,–
Fence erectors,38,–,–,–,–,–
Hazardous materials removal workers,26,–,–,–,–,–
Highway maintenance workers,73,1.3,79.1,15.4,0.4,14.8
Rail-track laying and maintenance equipment operators,11,–,–,–,–,–
Septic tank servicers and sewer pipe cleaners,11,–,–,–,–,–
Miscellaneous construction and related workers,34,–,–,–,–,–
"Derrick, rotary drill, and service unit operators, oil and gas",20,–,–,–,–,–
"Excavating and loading machine and dragline operators, surface mining",4,–,–,–,–,–
"Earth drillers, except oil and gas",37,–,–,–,–,–
"Explosives workers, ordnance handling experts, and blasters",11,–,–,–,–,–
Underground mining machine operators,29,–,–,–,–,–
"Roustabouts, oil and gas",7,–,–,–,–,–
Other extraction workers,47,–,–,–,–,–
"Installation, maintenance, and repair occupations","4,901",4.5,83.3,9.8,2.9,23.6
"First-line supervisors of mechanics, installers, and repairers",272,8.0,83.0,9.7,2.8,16.4
"Computer, automated teller, and office machine repairers",125,9.8,76.5,13.7,6.0,13.2
Radio and telecommunications equipment installers and repairers,100,9.1,81.1,5.4,6.8,20.0
Avionics technicians,12,–,–,–,–,–
"Electric motor, power tool, and related repairers",18,–,–,–,–,–
"Electrical and electronics installers and repairers, transportation equipment",3,–,–,–,–,–
"Electrical and electronics repairers, industrial and utility",7,–,–,–,–,–
"Electronic equipment installers and repairers, motor vehicles",8,–,–,–,–,–
Audiovisual equipment installers and repairers,18,–,–,–,–,–
Security and fire alarm systems installers,70,1.2,78.2,12.2,0.6,26.9
Aircraft mechanics and service technicians,158,6.9,77.6,9.7,7.7,22.8
Automotive body and related repairers,128,4.9,83.5,9.2,2.2,26.3
Automotive glass installers and repairers,17,–,–,–,–,–
Automotive service technicians and mechanics,914,3.2,82.9,9.9,3.6,30.4
Bus and truck mechanics and diesel engine specialists,334,2.8,87.0,7.0,2.3,20.7
Heavy vehicle and mobile equipment service technicians and mechanics,191,1.5,94.4,3.4,0.4,13.1
Small engine mechanics,38,–,–,–,–,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",97,4.2,81.4,11.1,1.7,30.5
Control and valve installers and repairers,19,–,–,–,–,–
"Heating, air conditioning, and refrigeration mechanics and installers",495,3.0,84.3,8.9,3.6,25.4
Home appliance repairers,34,–,–,–,–,–
Industrial and refractory machinery mechanics,373,4.4,82.5,10.2,2.6,20.2
"Maintenance and repair workers, general",725,5.1,81.2,10.3,3.2,23.2
"Maintenance workers, machinery",31,–,–,–,–,–
Millwrights,40,–,–,–,–,–
Electrical power-line installers and repairers,131,1.8,88.7,8.0,1.0,14.6
Telecommunications line installers and repairers,127,6.3,81.4,15.2,1.9,27.3
Precision instrument and equipment repairers,55,13.3,87.0,5.5,4.8,20.7
Wind turbine service technicians,8,–,–,–,–,–
"Coin, vending, and amusement machine servicers and repairers",36,–,–,–,–,–
Commercial divers,6,–,–,–,–,–
Locksmiths and safe repairers,44,–,–,–,–,–
Manufactured building and mobile home installers,7,–,–,–,–,–
Riggers,12,–,–,–,–,–
"Helpers--installation, maintenance, and repair workers",23,–,–,–,–,–
"Other installation, maintenance, and repair workers",225,6.3,82.6,15.3,0.8,28.9
,,,,,,
"Production, transportation, and material moving occupations","19,873",24.5,73.2,17.6,5.1,26.0
Production occupations,"7,944",28.8,76.1,14.2,5.7,25.5
First-line supervisors of production and operating workers,767,23.6,80.0,12.5,4.6,18.7
"Aircraft structure, surfaces, rigging, and systems assemblers",2,–,–,–,–,–
"Electrical, electronics, and electromechanical assemblers",115,54.9,55.5,16.0,24.4,19.4
Engine and other machine assemblers,7,–,–,–,–,–
Structural metal fabricators and fitters,22,–,–,–,–,–
Other assemblers and fabricators,899,35.9,70.2,18.8,8.0,25.6
Bakers,243,67.1,84.0,8.6,4.6,33.9
"Butchers and other meat, poultry, and fish processing workers",239,20.0,65.5,21.4,6.3,30.1
"Food and tobacco roasting, baking, and drying machine operators and tenders",12,–,–,–,–,–
Food batchmakers,98,56.4,77.4,14.8,2.4,29.9
Food cooking machine operators and tenders,13,–,–,–,–,–
"Food processing workers, all other",133,32.3,70.0,15.1,8.4,39.4
Computer numerically controlled tool operators and programmers,91,4.6,87.4,0.6,6.4,16.3
"Forming machine setters, operators, and tenders, metal and plastic",22,–,–,–,–,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",52,8.6,75.8,18.3,4.8,23.0
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",40,–,–,–,–,–
"Other machine tool setters, operators, and tenders, metal and plastic",7,–,–,–,–,–
Machinists,281,4.8,83.1,6.8,7.1,12.6
"Metal furnace operators, tenders, pourers, and casters",15,–,–,–,–,–
"Model makers and patternmakers, metal and plastic",1,–,–,–,–,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",24,–,–,–,–,–
Tool and die makers,36,–,–,–,–,–
"Welding, soldering, and brazing workers",592,6.0,82.2,9.5,3.0,26.7
Other metal workers and plastic workers,305,20.3,76.1,11.9,7.6,22.4
Prepress technicians and workers,19,–,–,–,–,–
Printing press operators,132,25.4,84.7,10.2,4.5,24.3
Print binding and finishing workers,15,–,–,–,–,–
Laundry and dry-cleaning workers,111,76.8,62.5,27.4,4.5,33.9
"Pressers, textile, garment, and related materials",25,–,–,–,–,–
Sewing machine operators,114,74.2,74.5,14.7,2.7,40.1
Shoe and leather workers,10,–,–,–,–,–
"Tailors, dressmakers, and sewers",65,77.0,73.3,15.0,10.0,25.9
"Textile machine setters, operators, and tenders",20,–,–,–,–,–
Upholsterers,18,–,–,–,–,–
"Other textile, apparel, and furnishings workers",8,–,–,–,–,–
Cabinetmakers and bench carpenters,43,–,–,–,–,–
Furniture finishers,17,–,–,–,–,–
"Sawing machine setters, operators, and tenders, wood",21,–,–,–,–,–
"Woodworking machine setters, operators, and tenders, except sawing",14,–,–,–,–,–
Other woodworkers,27,–,–,–,–,–
"Power plant operators, distributors, and dispatchers",40,–,–,–,–,–
Stationary engineers and boiler operators,96,6.2,77.3,18.7,3.8,17.5
Water and wastewater treatment plant and system operators,107,8.0,90.1,8.3,0.1,15.6
Miscellaneous plant and system operators,48,–,–,–,–,–
"Chemical processing machine setters, operators, and tenders",46,–,–,–,–,–
"Crushing, grinding, polishing, mixing, and blending workers",82,18.8,75.7,17.5,3.0,30.2
Cutting workers,52,17.9,66.5,15.4,14.6,30.1
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",14,–,–,–,–,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",14,–,–,–,–,–
"Inspectors, testers, sorters, samplers, and weighers",768,36.1,74.0,14.4,7.7,20.2
Jewelers and precious stone and metal workers,36,–,–,–,–,–
Dental and ophthalmic laboratory technicians and medical appliance technicians,72,57.2,90.0,3.7,5.9,21.1
Packaging and filling machine operators and tenders,278,53.9,69.7,18.9,5.5,49.8
Painting workers,162,10.4,74.6,15.0,3.7,32.9
Photographic process workers and processing machine operators,32,–,–,–,–,–
Adhesive bonding machine operators and tenders,7,–,–,–,–,–
Etchers and engravers,2,–,–,–,–,–
"Molders, shapers, and casters, except metal and plastic",34,–,–,–,–,–
"Paper goods machine setters, operators, and tenders",12,–,–,–,–,–
Tire builders,7,–,–,–,–,–
Helpers--production workers,64,37.9,78.7,4.3,6.9,30.3
Other production equipment operators and tenders,4,–,–,–,–,–
Other production workers,"1,294",26.0,73.7,18.8,4.0,27.9
Transportation and material moving occupations,"11,930",21.7,71.3,19.9,4.7,26.3
Supervisors of transportation and material moving workers,322,27.4,72.1,12.8,9.9,20.1
Aircraft pilots and flight engineers,213,9.6,88.3,4.4,2.7,8.3
Air traffic controllers and airfield operations specialists,35,–,–,–,–,–
Flight attendants,129,77.2,69.0,22.6,5.2,15.9
"Ambulance drivers and attendants, except emergency medical technicians",23,–,–,–,–,–
"Bus drivers, school",201,51.4,74.7,21.0,2.7,15.7
"Bus drivers, transit and intercity",271,35.8,60.6,33.3,2.6,17.6
Driver/sales workers and truck drivers,"3,578",7.9,70.9,21.3,4.5,24.3
Shuttle drivers and chauffeurs,79,19.6,66.7,21.6,8.6,16.6
Taxi drivers,514,12.6,48.9,29.9,16.9,26.6
"Motor vehicle operators, all other",231,19.4,56.1,32.3,9.5,17.2
Locomotive engineers and operators,41,–,–,–,–,–
Railroad conductors and yardmasters,51,3.9,77.4,19.1,0.5,8.6
Other rail transportation workers,19,–,–,–,–,–
Sailors and marine oilers,21,–,–,–,–,–
Ship and boat captains and operators,44,–,–,–,–,–
Ship engineers,3,–,–,–,–,–
Parking attendants,54,9.8,58.4,27.0,5.5,28.9
Transportation service attendants,75,15.1,82.4,11.7,3.1,20.3
Transportation inspectors,40,–,–,–,–,–
Passenger attendants,30,–,–,–,–,–
Other transportation workers,45,–,–,–,–,–
Crane and tower operators,53,5.1,77.7,14.6,4.6,17.7
"Conveyor, dredge, and hoist and winch operators",31,–,–,–,–,–
Industrial truck and tractor operators,602,10.4,71.5,21.6,2.2,35.8
Cleaners of vehicles and equipment,371,17.7,77.4,14.1,2.1,35.8
"Laborers and freight, stock, and material movers, hand","2,286",22.9,72.8,18.7,3.6,28.7
Machine feeders and offbearers,26,–,–,–,–,–
"Packers and packagers, hand",661,53.4,68.9,21.3,5.7,44.2
Stockers and order fillers,"1,694",37.6,76.2,15.5,3.6,25.5
Pumping station operators,19,–,–,–,–,–
Refuse and recyclable material collectors,104,11.3,73.1,21.1,5.1,26.1
Other material moving workers,65,17.1,84.3,13.8,0.9,34.2
,,,,,,
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,