company,year
Mederva Health,2022
MediSearch,2023
Medicare Vox (fka Fair Square),2020
Medigram,2012
Medium Biosciences,2021
Medumo,2018
Melder,2024
Melty,2024
Mem0,2024
Memora Health,2018
MentalHappy,2018
Menten AI,2020
Mentum,2021
Menza,2023
Mercator,2022
Merlin AI,2024
Mesh,2020
Meta,2013
Metal,2023
Metalware,2023
Metaplane,2020
Meter Feeder,2016
Meticulate,2024
Metofico,2024
Metreecs,2024
Mica AI,2024
MicroHealth,2015
Middleware,2023
Midship,2024
Milky Way AI,2021
MindFi,2021
MindPortal,2021
Minded,2023
Mindee,2021
Mindori,2016
MindsDB,2020
Mindstate Design Labs,2021
Mineflow,2024
Mintplex Labs,2022
MinusX,2024
Miracle,2023
Miru,2024
Misprint,2025
Mito,2020
Miyagi Labs,2025
MobileBoost,2021
Mocha,2023
Momentic,2024
Momo Medical,2021
Monterey AI,2022
Moonglow,2024
Moonvalley,2021
Moots AI,2022
Morphik,2025
Mosaic,2025
MosaicVoice,2022
Mosaix.ai,2016
Motion,2020
Mundo AI,2025
Mutiny,2018
Mystic,2021
Nabla Bio,2020
Namecard.ai,2022
NanoNets,2017
Nanograb,2023
Nara,2022
Narrative,2023
Natero,2012
Navier AI,2024
Nectar,2023
Nectome,2018
NeoWize,2016
Neosync,2022
Neptyne,2023
Nestor,2018
Netomi,2016
Newton,2024
Next Caller,2014
NextByte,2025
NextDrop,2017
Nextera Robotics,2020
Nextmv,2020
Niles,2017
Nimble,2017
Nimbus,2021
Nitrode,2025
NoRedInk,2012
Nowadays,2023
Nowports,2019
NuMind,2022
Nuanced,2024
Nyckel,2022
Observant AI,2018
Observe.AI,2018
Octolane AI,2024
Ocular AI,2024
Odo,2024
OfOne,2023
OffDeal,2024
Offstream,2024
Oki,2025
Olio Labs,2023
Omni,2020
OmniAI,2024
Oncobox,2017
OneStopKitchen,2021
Onlook,2025
Ontra Mobility,2024
Onward,2023
Onyx,2024
Opearlo,2017
Open,2024
Open Motors,2016
OpenFoundry,2024
OpenFunnel,2024
OpenMeter,2023
OpenPipe,2023
OpenSight,2023
Opencall.ai,2024
Openlayer,2021
Operand,2025
Operative.sh,2025
Opine,2025
Opkit,2021
Opslane,2024
Optifye.ai,2025
Optilly/Installmonetizer,2012
Optimizely,2010
Ora AI,2023
Orangewood Labs,2018
Orbillion Bio,2021
Orbio Earth,2023
Orbiter,2020
Orchid,2023
Origami,2024
Osium AI,2023
Osmind,2020
Outerport,2024
Outlit,2025
Output Biosciences,2021
Outset,2023
Overlap,2024
Overstand Labs,2025
Overview,2019
Overwatch,2022
Ovlo,2025
Oway,2024
Paasa,2024
Pachama,2019
Pair AI,2023
Paladin,2018
Palifer,2019
Palmier,2024
Palomma,2023
PandasAI,2024
Pando Bioscience,2023
Panora,2024
Paperplane,2023
Paperspace,2015
Parabolic,2023
Parade,2020
Paradigm,2024
Paradome,2024
Paragon AI,2022
Parahelp,2024
Parallel,2024
Paratus Health,2025
Parea,2023
Parity,2024
Parley,2024
Parsagon,2021
Parsewise,2025
Partcl,2025
Pasito,2022
Passenger AI,2018
Patched,2024
Patchwork,2024
PathPilot,2024
Pathmind,2016
Patika,2022
Patterns,2021
Pave Robotics,2025
Pax,2024
PayCrunch,2022
PearAI,2024
Pearson Labs,2024
Penciled,2024
Penguin AI,2022
People.ai,2016
Peppr AI,2025
Percept.AI,2017
Perlara,2016
Permitify,2025
Pernell,2024
Persana AI,2023
Persist AI,2023
Pharos,2024
Phiar,2018
Phind,2022
Phonely,2024
Photoroom,2020
Pibit.ai,2021
Pickle,2025
PicnicHealth,2014
Pideaky,2021
Pierre,2023
Pig,2025
Pina Earth,2022
Pinch,2025
Pincites,2023
PipeBio,2021
Pipeshift,2024
Piramidal,2024
Pirros,2023
Pit.AI,2017
Pivot Robotics,2024
Plai,2021
Plasticity,2017
PlayHT,2023
Playground,2019
Playment,2017
Plexe,2025
Plivo,2012
Ploomber,2022
Plume,2024
Plutto,2022
Ply Health,2024
Pocket Worlds,2018
PocketPod,2024
Podium,2016
PointOne,2024
Pointwise,2023
Poka Labs,2024
Poly,2022
Polymath Robotics,2022
Polymet,2024
Ponder,2023
Ponyrun,2022
PoplarML,2023
Popsy,2022
PostEra,2020
PostHog,2020
Powder,2024
Power to the Brand,2022
PowerX,2020
Powerdocs,2022
Powerhouse AI,2022
Pragmatic Leaders (Ankai Inc),2021
Praxis AI,2024
Praxos,2024
Prayas Analytics,2015
Precip,2024
Preflight,2019
Preloop,2024
Presti AI,2024
Presto,2010
Pretzel AI,2024
Probably Genetic,2019
Prodigal,2018
Prolific,2019
Promi,2024
Promoted.ai,2021
PromptLoop,2022
Promptless,2025
PropRise,2023
Propaya,2024
Prophecy Sciences,2013
Protegee,2024
Protex AI,2021
Proven Group,2018
Provision,2022
Proxis,2024
Pulpix,2016
Pulse,2024
Pump.co,2022
Pumpkin,2024
PySpur.dev,2024
Pyka,2017
Pyq AI,2023
Pythagora (GPT Pilot),2024
Pyxai,2019
Quadrant Eye,2021
Quantstruct,2025
Query Vary,2022
QueryPie,2020
Quetzal,2024
Quickchat AI,2018
Quill AI,2023
Quindar,2022
Quivr,2024
Qventus,2015
RADAR,2013
RMFG,2021
ROSS Intelligence,2015
RTHM,2022
Rabbet,2017
RadMate AI,2024
Rada,2025
Radical,2023
Ragas,2024
Rain Neuromorphics,2018
Raindrop,2024
Ramen VR,2019
Rankai,2023
Rastro,2024
Raven,2022
Raven Tech,2015
Raycaster,2024
Razorpay,2015
ReactWise,2024
Reality Defender,2022
Rebolt,2025
Recall.ai,2020
Recurrency,2020
Red Barn Robotics,2025
RedBrick AI,2022
Redbird,2022
Redouble AI,2024
Reduced Energy Microsystems,2015
Reducto,2024
Reflex,2023
Reforged Labs,2022
Regology,2018
Rejoy Health,2021
Relace,2023
Relari,2024
Relativity Space,2016
Relvy AI,2024
Remade,2024
Remo,2024
Remy,2023
RentFlow,2024
Repacket,2023
Reprompt,2024
Rescale,2012
Rescript,2024
Reshape Biotech,2021
Resonance,2024
Respaid,2023
Retape,2023
Retell AI,2024
Reticular,2024
Retrofit,2025
Revamp,2023
Revery AI,2021
Revi,2024
Revise Robotics,2025
Revyl,2024
Rewbi,2024
Reworkd,2023
Ridecell,2012
Rider,2022
RiskAngle,2024
RiskCube,2024
Risotto,2024
Rivet,2023
Riveter AI,2024
Rivia.AI,2021
Riviera,2025
Roark,2025
Robby Technologies,2016
RoboTire,2020
Roboflow,2020
RocketLit,2016
Rocketable,2025
Roe AI,2024
Roger,2021
Rollstack,2023
Roundabout Technologies,2024
Roundtable,2023
RowBoat Labs,2024
Rubber Ducky Labs,2023
Rubbrband,2023
Rulebase,2024
RunLocal,2024
RunRL,2025
SAMMY Labs,2025
SBX Robotics,2021
SID,2023
SPATE,2018
SPRX,2023
SRE.ai,2024
SafeBeat,2021
SafetyKit,2023
Sage AI,2023
SalesPatriot,2025
SalesSift,2014
Saleswhale,2016
Salient,2023
Salt Security,2016
Same,2024
Sameday,2023
Sample,2024
Sapling.ai,2019
Sarus,2022
Saturn,2024
Scale AI,2016
Scanbase,2023
SchemeFlow,2024
SciPhi,2024
Scispot,2021
ScopeAI,2017
Scout,2020
Scrapybara,2024
Scribe,2017
Sculpt,2022
Seals AI,2024
Secoda,2021
Second,2023
Securly,2012
Segmed,2020
Segments.ai,2021
Sei,2022
SelectIQ,2023
Semantics3,2013
Sendbird,2016
Sendblue,2023
"Sendme, Inc",2022
Sennu AI,2025
Sense Education,2012
Sensei,2024
Senso,2024
SensorSurf,2023
Sentiyen,2021
Sepal AI,2024
Sepsis Scout,2018
Sequence Bio,2019
Serinus Biosciences,2022
Serra,2023
Shadeform,2023
Shape,2021
Shaped,2022
Shelf Engine,2018
Shepherd,2021
Shiboleth,2024
Shift Health,2019
ShipBlu,2021
Shipamax,2017
ShopMyGPT.com,2021
ShortLoop,2023
Shortbread,2023
ShowAndTell,2024
Sidenote,2023
Sieve,2022
Sift,2011
Sift Dev,2025
SigOpt,2015
Sigma AI,2022
Silimate,2023
SilkChart,2022
Silogy,2024
Silurian,2024
SimCare AI,2024
Simple AI,2024
Simplex,2024
Simplifine,2024
Simplify,2021
Sivi,2022
SkydropX,2018
Skypher,2020
Skyvern,2023
Slicker,2023
Slidely AI,2022
Slik,2017
Slingshot,2022
Slite,2018
Smarking,2015
SmartHelio,2022
Smobi,2023
Smyte,2015
SnapCalorie,2021
SnapMagic,2015
Snapjoy,2011
Snaptalent,2008
Sohar Health,2023
Sola,2023
Solidroad,2025
Solum Health,2022
Solve Intelligence,2023
Sonauto,2024
Sonia,2024
Sophris,2025
Soraban,2021
Soteris,2019
Soundry AI,2024
Sourceress,2017
Spade,2022
Spark,2024
Speck,2024
Spect,2017
Speechly,2022
Speedy Labs,2023
Spellbrush,2018
Sphere,2022
Spherecast,2024
Sphinx,2024
Spinach AI,2022
Spine AI,2023
Spiral Genetics,2019
Spoil,2015
Spongecake,2024
Spott,2025
SprintAI,2020
Squire.ai,2021
Stably AI,2022
Stack AI,2023
StackLead,2014
Stacksi,2021
Stamp,2025
Standard AI,2017
Standard Cyborg,2015
StarJar,2024
Starcloud,2024
Stardex,2021
Starsky Robotics,2016
Stellar,2022
Storia AI,2024
Stormy AI – Autonomous marketing agent,2024
Storyboarder,2023
Storyline,2018
Strac,2022
Strada,2023
StratumAI,2020
Stream,2022
Strong Compute,2022
Struct,2023
Studdy,2023
SubscriptionFlow,2022
Subsets,2023
Substrate,2024
Suggestr,2022
Sully.ai,2021
Summed AI,2024
SuperKalam,2023
Superagent,2024
Superb AI,2019
Superpowered AI,2022
Superunit,2024
SureBright,2024
Swades AI,2022
Sway Finance,2016
Swayable,2018
Sweep,2023
Sweetspot,2023
Swiftype,2012
Symphony,2024
Syncly,2023
Synth,2024
SynthioLabs,2025
T3 Chat (prev. Ping.gg),2022
TANGObuilder,2020
TRACTIAN,2021
TRM Labs,2019
Tabular,2024
Tailor-ED,2019
Tailornova/Couturme,2019
Taiv,2020
Taktile,2020
Talc,2023
Talentropy.ai,2022
TamLabs,2025
Tamarind Bio,2024
Tandem,2019
Tara AI,2015
Taskade,2019
Tasker AI,2020
Tavus,2021
TaxGPT,2024
Taylor AI,2023
Tegon,2023
Tejas AI,2025
Teleo,2020
Telivy,2021
Tenderd,2018
Tennr,2023
Tensil,2019
TensorPool,2025
Tensorfuse,2024
Tenyks,2021
Tergle,2025
Terracotta AI,2023
Terrakotta,2024
Tesorio,2015
Tetra,2017
Texel.ai,2023
The Forecasting Company,2024
Thematic,2017
Theneo,2022
Thorntale,2024
Thrive Agritech,2015
Thyme,2024
TigerEye,2022
Tile,2024
Tinfoil,2025
Tiny,2024
Tire Swing,2025
Titan,2018
TokenOwl,2024
Toma,2024
Toolify,2024
Toothy AI,2025
Top Road,2022
Topo,2024
Tower,2024
Trace,2025
Tracecat,2024
Traceloop,2023
Traces,2019
TrackChain,2021
Trackingplan,2022
TradeFlow,2024
TrainLoop,2025
Trainy,2023
Tranqui Finanzas,2019
Trata,2025
Traversal Networks,2015
Traverse Technologies,2019
Trellis,2024
Trellus,2022
Trendpop,2021
Tributi,2018
Trident Bioscience,2020
Trieve,2024
Triomics,2021
TripleZip,2025
TrueClaim,2024
Trueplace,2022
Truewind,2023
Truffle AI,2025
Truora,2019
Truva,2022
Trébol,2022
Tuesday,2022
Tuesday Lab,2024
Tule,2014
Turing College,2021
Turing Labs Inc.,2020
Turntable,2023
Tusk,2024
Tuva Health,2022
Twine,2023
Two Dots,2022
Tydo,2020
Typa,2024
Type,2023
TypeLess,2022
Typedream,2020
Typewise,2022
UNISON,2022
Uberduck,2022
Ultra,2024
Unbabel,2014
Undermind,2024
Unhaze,2023
Unify,2023
Unravel Carbon,2022
Unsloth AI,2024
Unthread,2022
Unusual,2024
UpCodes,2017
Upfort,2017
Upsolve,2019
Upsolve AI,2024
Upwave,2012
UserGems,2014
VOIQ,2015
Vaero,2023
Valora,2025
Vango AI,2023
VantedgeAI,2022
Vantel,2025
Variance,2023
Varos,2021
Vathys,2018
Vector,2023
VectorShift,2023
Vellum,2023
Velos,2023
Vendah,2023
Vendora,2023
Venta AI,2023
Venu AI,2021
Vera Health,2024
Verak,2021
Verbiflow,2025
Verge Genomics,2015
VergeSense,2017
Veriff,2018
Verihubs,2021
Versable,2022
Versive,2023
"Veryfi, Inc.",2017
Vespper,2024
Vibe,2024
VibeGrade,2025
Vimmerse,2022
Viva Labs,2022
Vizly,2023
Vizy,2019
Vocality Health,2025
Vocode,2023
Vogent,2021
Voiceops,2017
Voicery,2018
Void,2024
Voker,2024
Volley,2018
Vooma,2023
Voosh,2021
Vora AI,2025
Vovana,2025
VoxOps AI,2024
Vybe,2025
WareIQ,2020
"Warmly,",2020
Warpdrive by Synthetic Minds,2018
Warpfy,2021
Watchsend,2013
Watto AI,2023
Wattson Health,2023
Waydev,2021
Waypoint Transit,2025
WeReno,2022
WeatherCheck,2019
Weave,2025
Weave Robotics,2024
Weltio,2022
Whirlscape,2014
WhiteLab Genomics,2022
Wild Moose,2023
Wildcard,2025
Willow,2024
Windsor,2019
Winford Wealth,2024
Wingman,2019
Wit.ai,2014
Wolfia,2022
Wondercraft,2022
Wordware,2024
WorkDone,2025
Workflow86,2022
Worklytics,2018
Writesonic,2021
Xobni,2006
Yarn,2024
YesGraph,2015
Yhat,2015
Yondu,2024
Yoneda Labs,2024
YouShift,2025
Yuma AI,2023
Yummy Future,2019
Zapi,2022
Zeit AI,2024
Zeitview,2015
Zen99,2014
Zenbase AI,2024
Zendar,2017
Zeo Route Planner,2020
Zeon Systems,2025
Zep AI,2024
Zero Health,2025
ZeroEntropy,2025
ZeroPath,2024
Zeta Surgical,2019
Zimi,2024
Zorba,2022
Zumo Labs,2020
Zuni,2024
Zyper,2018
amiloz,2022
askLio,2023
assistant-ui,2025
autarc,2024
autone,2022
awen,2025
bloop,2021
camelAI,2024
camfer,2024
careCycle,2025
cloud humans,2021
co.dev,2023
crmCopilot,2024
dili,2023
dmodel,2024
eBrandvalue,2015
edgetrace,2024
ego,2024
emojis.com,2025
eqtble,2021
et al.,2024
expand.ai,2024
finbar,2025
fixa,2024
flexEngage,2016
garten,2016
goodfin,2022
haddock,2022
iSono Health,2016
ideate.xyz,2024
inBalance,2021
inFeedo AI,2020
iollo,2022
ion design,2024
jo,2024
kapa.ai,2023
kater.ai,2024
mdhub,2024
mrge,2025
mutable.ai,2022
nCompass Technologies,2024
nao Labs,2025
ngrow.ai,2022
"numericcal, inc.",2018
nunu.ai,2023
outloud.ai,2021
phospho,2024
rct AI,2019
rift,2023
sudocode,2023
supercontrast,2024
superglue,2025
sync.,2024
telli,2024
throxy,2025
trebu,2022
truemetrics,2023
vly.ai,2024
voize,2022
Ångström AI,2024
